variantId,model,P/N Masked,productCodeType,saleMode,errorCode,errorExplanation,sourceFileDisplayName,sourceSheet,sourceRow,rawTextExcerpt,requiredAction
ACC-ERR-R83,,N/A,STANDARD_ACCESSORY,STANDARD_PAYMENT,FORMULA_CALCULATION_FAILURE,Quarantined by Rule Engine: FORMULA_CALCULATION_FAILURE. Strictly prohibited from retail sale.,Promotion Tablet Sep 2026.xlsx,โปร และ เงื่อนไขการตัดขาย,83,#ERROR!,Verify formula in source Excel workbook or wait for branch supervisor confirmation
ACC-ERR-R84,,N/A,STANDARD_ACCESSORY,STANDARD_PAYMENT,FORMULA_CALCULATION_FAILURE,Quarantined by Rule Engine: FORMULA_CALCULATION_FAILURE. Strictly prohibited from retail sale.,Promotion Tablet Sep 2026.xlsx,โปร และ เงื่อนไขการตัดขาย,84,#ERROR!,Verify formula in source Excel workbook or wait for branch supervisor confirmation
ACC-ERR-R85,,N/A,STANDARD_ACCESSORY,STANDARD_PAYMENT,FORMULA_CALCULATION_FAILURE,Quarantined by Rule Engine: FORMULA_CALCULATION_FAILURE. Strictly prohibited from retail sale.,Promotion Tablet Sep 2026.xlsx,โปร และ เงื่อนไขการตัดขาย,85,#ERROR!,Verify formula in source Excel workbook or wait for branch supervisor confirmation
ACC-ERR-R86,,N/A,STANDARD_ACCESSORY,STANDARD_PAYMENT,FORMULA_CALCULATION_FAILURE,Quarantined by Rule Engine: FORMULA_CALCULATION_FAILURE. Strictly prohibited from retail sale.,Promotion Tablet Sep 2026.xlsx,โปร และ เงื่อนไขการตัดขาย,86,#ERROR!,Verify formula in source Excel workbook or wait for branch supervisor confirmation
ACC-ERR-R87,,N/A,STANDARD_ACCESSORY,STANDARD_PAYMENT,FORMULA_CALCULATION_FAILURE,Quarantined by Rule Engine: FORMULA_CALCULATION_FAILURE. Strictly prohibited from retail sale.,Promotion Tablet Sep 2026.xlsx,โปร และ เงื่อนไขการตัดขาย,87,#ERROR!,Verify formula in source Excel workbook or wait for branch supervisor confirmation
ACC-ERR-R88,,N/A,STANDARD_ACCESSORY,STANDARD_PAYMENT,FORMULA_CALCULATION_FAILURE,Quarantined by Rule Engine: FORMULA_CALCULATION_FAILURE. Strictly prohibited from retail sale.,Promotion Tablet Sep 2026.xlsx,โปร และ เงื่อนไขการตัดขาย,88,#ERROR!,Verify formula in source Excel workbook or wait for branch supervisor confirmation
ACC-ERR-R89,,N/A,STANDARD_ACCESSORY,STANDARD_PAYMENT,FORMULA_CALCULATION_FAILURE,Quarantined by Rule Engine: FORMULA_CALCULATION_FAILURE. Strictly prohibited from retail sale.,Promotion Tablet Sep 2026.xlsx,โปร และ เงื่อนไขการตัดขาย,89,#ERROR!,Verify formula in source Excel workbook or wait for branch supervisor confirmation
ACC-ERR-R90,,N/A,STANDARD_ACCESSORY,STANDARD_PAYMENT,FORMULA_CALCULATION_FAILURE,Quarantined by Rule Engine: FORMULA_CALCULATION_FAILURE. Strictly prohibited from retail sale.,Promotion Tablet Sep 2026.xlsx,โปร และ เงื่อนไขการตัดขาย,90,#ERROR!,Verify formula in source Excel workbook or wait for branch supervisor confirmation
ACC-ERR-R91,,N/A,STANDARD_ACCESSORY,STANDARD_PAYMENT,FORMULA_CALCULATION_FAILURE,Quarantined by Rule Engine: FORMULA_CALCULATION_FAILURE. Strictly prohibited from retail sale.,Promotion Tablet Sep 2026.xlsx,โปร และ เงื่อนไขการตัดขาย,91,#ERROR!,Verify formula in source Excel workbook or wait for branch supervisor confirmation
ACC-ERR-R92,,N/A,STANDARD_ACCESSORY,STANDARD_PAYMENT,FORMULA_CALCULATION_FAILURE,Quarantined by Rule Engine: FORMULA_CALCULATION_FAILURE. Strictly prohibited from retail sale.,Promotion Tablet Sep 2026.xlsx,โปร และ เงื่อนไขการตัดขาย,92,#ERROR!,Verify formula in source Excel workbook or wait for branch supervisor confirmation
